lr,beta,train,test,pos,rot,kl
0.001,0.0,3.6438735,2.8772736,26.22284,1.0215892,1.340118
0.001,0.01,2.76578,2.688735,21.083847,0.638559,1.8836519
0.0009990143508499217,0.02,2.582567,2.4796457,19.817661,0.576132,1.23344
0.0009960612933065818,0.03,2.367122,2.2611625,18.20202,0.5095231,1.2465626
0.00099115248173898,0.04,2.1830204,2.089838,16.665356,0.47107795,1.1351771
0.0009843072889837512,0.05,2.0061038,1.9052424,14.99101,0.45003784,1.1393006
0.0009755527298894294,0.06,1.8598412,1.790451,13.634952,0.4273571,1.1498164
0.0009649233547011816,0.07,1.7417428,1.6617972,12.546709,0.4059349,1.1590937
0.0009524611127067769,0.08,1.6329752,1.5615052,11.541206,0.38411152,1.1842896
0.0009382151866819099,0.09,1.5254152,1.4778811,10.551001,0.36249253,1.1980298
0.0009222417987882566,0.1,1.4485936,1.4308296,9.835596,0.34306958,1.2196429
0.0009046039886902864,0.11,1.3748271,1.368095,9.153382,0.32476556,1.2247571
0.0008853713647665069,0.12,1.3097675,1.2787442,8.552081,0.30787486,1.2223712
0.0008646198293969952,0.13,1.2501755,1.2236599,8.001732,0.29264432,1.2104456
0.0008424312794113801,0.14,1.1997411,1.1948913,7.5224876,0.27837315,1.2079946
0.0008188932828794706,0.15,1.1620411,1.1491556,7.1600327,0.26699057,1.1936496
0.0007940987335200905,0.16,1.1267489,1.1146345,6.8048286,0.25720873,1.1816083
0.0007681454840920089,0.17,1.1010602,1.1009198,6.533909,0.24850054,1.1715808
0.0007411359602138069,0.18,1.0817204,1.0885948,6.325809,0.24090391,1.156864
0.0007131767561367538,0.19,1.0686744,1.0652653,6.1727414,0.23491764,1.1393825
0.0006843782140659968,0.2,1.0459634,1.0700854,5.921834,0.2280053,1.1288736
0.0006548539886902864,0.21,1.0316916,1.0239741,5.745458,0.22245201,1.1175897
0.0006247205986388449,0.22,1.0162678,1.016358,5.5650725,0.21649837,1.1057373
0.0005940969666355697,0.23,1.0085655,1.0130159,5.457384,0.21185008,1.0912051
0.0005631039501653701,0.24,0.99661154,1.007137,5.2949963,0.20735084,1.0823375
0.0005318638645048922,0.25,0.99433935,1.016098,5.2240806,0.20358627,1.0733799
0.0005005000000000001,0.25,0.9794273,0.976819,5.119104,0.2002188,1.0691926
0.00046913613549510807,0.25,0.9610229,0.9675692,4.964444,0.19645213,1.0725048
0.00043789604983463014,0.25,0.95246404,0.96602255,4.905911,0.19381474,1.0722331
0.00040690303336443065,0.25,0.9353182,0.9448443,4.772862,0.19034973,1.0707288
0.00037627940136115507,0.25,0.92286783,0.93361664,4.6726694,0.18728308,1.0732712
0.000346146011309714,0.25,0.91482717,0.9320107,4.6113296,0.18502839,1.074663
0.00031662178593400354,0.25,0.9021685,0.9119169,4.513528,0.18250382,1.073247
0.00028782324386324626,0.25,0.8930188,0.90464646,4.4354014,0.18022332,1.077021
0.00025986403978619317,0.25,0.8859429,0.89751834,4.382234,0.17820537,1.0780565
0.00023285451590799108,0.25,0.8775389,0.8872661,4.313289,0.17633171,1.0795133
0.00020690126647990973,0.25,0.8687818,0.88244945,4.24717,0.1744516,1.0784527
0.00018210671712052948,0.25,0.86353767,0.8764534,4.201207,0.17322543,1.0807662
0.00015856872058862,0.25,0.85894585,0.8750381,4.166996,0.1719964,1.0809989
0.00013638017060300505,0.25,0.8520417,0.8650821,4.1109867,0.170617,1.0813044
0.00011562863523349333,0.25,0.8477978,0.86146563,4.0743446,0.16948146,1.0835273
9.639601130971382e-05,0.25,0.8437154,0.8572461,4.0421343,0.16876502,1.0829479
7.875820121174359e-05,0.25,0.84139735,0.85290545,4.011873,0.16789527,1.089259
6.278481331809015e-05,0.25,0.8372474,0.8541538,3.9867682,0.16705266,1.0860713
4.853888729322333e-05,0.25,0.8341775,0.853079,3.9569464,0.1664263,1.0882266
3.6076645298818454e-05,0.25,0.83213365,0.8474121,3.9439025,0.16604401,1.0867975
2.5447270110570814e-05,0.25,0.83000964,0.8463289,3.9295466,0.16579735,1.0850306
1.6692711016248837e-05,0.25,0.8296133,0.8459759,3.9163828,0.1655252,1.0897996
9.847518261019985e-06,0.25,0.8280057,0.8461371,3.9019692,0.1652141,1.0903788
4.938706693418357e-06,0.25,0.8275893,0.84440905,3.9027364,0.16498898,1.0893066
1.9856491500783564e-06,0.0,0.54918504,0.55851465,3.8509362,0.16409141,1.1143333
0.0005,0.01,0.62851256,0.5709711,4.2349105,0.16754965,3.7471833
0.0004995076687428538,0.02,0.5691939,0.5716049,3.585785,0.15666878,2.69733
0.0004980326179779622,0.03,0.5709971,0.5739568,3.5870795,0.15557778,1.8903769
0.0004955806690568079,0.04,0.5813037,0.590967,3.6122527,0.15493436,1.6286024
0.0004921614987015934,0.05,0.5872364,0.598126,3.5688121,0.15348028,1.5374972
0.00048778860081564085,0.06,0.5992445,0.6178999,3.5795557,0.15271497,1.4762313
0.0004824792332291187,0.07,0.61229455,0.6220613,3.6028564,0.15227166,1.4248163
0.0004762543495902719,0.08,0.619034,0.6320686,3.564482,0.15100324,1.3947823
0.00046913851667094395,0.09,0.62740535,0.6528911,3.5495155,0.15003353,1.3602256
0.00046115981741275277,0.1,0.6407669,0.6500208,3.5774543,0.14968917,1.3333232
0.0004523497400965494,0.11,0.64998597,0.6641976,3.5752265,0.14874426,1.3065372
0.0004427430540725594,0.12,0.6576316,0.67118496,3.553551,0.14793125,1.2862101
0.0004323776725416422,0.13,0.66728777,0.68301946,3.5568833,0.14728485,1.2639576
0.00042129450292920784,0.14,0.6763407,0.7044613,3.551992,0.14687619,1.2447522
0.0004095372854422981,0.15,0.6868272,0.70051557,3.560892,0.14622062,1.230116
0.0003971524204469721,0.16,0.69344866,0.70824265,3.532138,0.14582181,1.2150823
0.00038418878534725965,0.17,0.7013734,0.7168951,3.5222895,0.14510275,1.200245
0.000370697541688378,0.18,0.7119851,0.7250827,3.5390394,0.14479293,1.1849346
0.00035673193324548566,0.19,0.7214386,0.73597366,3.540912,0.14446655,1.1730571
0.0003423470758948272,0.2,0.7288601,0.7409644,3.5300999,0.14386126,1.1599439
0.0003275997400965494,0.21,0.7367659,0.742655,3.521599,0.1435103,1.1480747
0.00031254812684763125,0.22,0.74324167,0.759181,3.4926586,0.14284848,1.1414886
